wavelength,bc01,bc02,bc03,bc04,bc05,bc06,bc07,bc08,bc09,bc10,bc11,bc12,ec01,ec02,ec03,ec04,ec05,ec06,ec07,ec08,lm01,lm02,lm03,lm04,lm05,pa01,pa02,pa03,pa04,pa05,pa06,se01,se02,se03,se04,se05,sa01,sa02,sa03,sa04,sa05,sa06,sa07,sa08,sa09,sa10,sa11
476.7891,0.130017,-1.05808,0.645336317,1.337998,-1.05747,-0.85735,5.041792,2.681803,4.206484,-7.15023,2.104452,-0.32107,0.065368,-3.67097,0.129761,0.817868,1.135617,3.604046,-3.70632,1.821116,-5.43448,1.126095,-0.32458,5.369037,3.691781,0.500573,1.483767,1.680644,3.908793,3.612092,1.465977,0.064302,-2.56469,3.009518,5.394102,3.571449,2.471681,0.307493,2.192855,6.256267,4.071738,2.216701,2.099072,1.303249,5.568518,0.303737,2.494398
477.1771,-0.39004,2.427356,0.516262715,0.364913,0.933069,0.061242,2.760981,1.219012,1.608372,-6.38787,1.275417,3.018053,0.326809,0.983297,0.324402,1.343651,0.298846,3.231201,1.678047,0.188403,7.992703,1.422429,2.726583,3.881249,-0.06151,0.688279,3.481069,-0.12449,2.716273,1.935042,1.641912,-0.06429,0.460334,-1.34468,3.775904,1.666676,-1.1299,3.320458,-0.43857,3.948131,3.068594,0.466708,2.361429,3.165035,-0.57583,3.21957,0.121693
477.565,0.195027,2.551801,2.645811704,2.797599,0.933059,-0.42866,3.421164,3.900742,1.360887,-12.5978,-0.95654,1.862184,0.784365,0.78662,4.217121,2.161472,1.613753,0.869924,6.502484,1.695485,-4.9218,1.540928,1.882593,2.264029,2.276555,0.93854,1.654939,2.55205,2.517488,0.967503,1.465979,1.543197,-0.13151,1.856916,4.787273,1.726173,1.765447,2.828531,4.072389,4.676964,2.301377,4.550018,2.820619,3.41323,-2.11153,0.121491,2.068501
477.9529,0.00000514,-0.31119,2.51675426,0.121639,1.990526,1.102311,2.040712,3.413177,2.474404,-3.80853,-1.78555,2.119041,-0.98043,-1.24549,3.438555,3.213021,0.717222,2.112675,-22.0271,2.009475,2.748514,0.474151,1.298378,1.875888,1.41519,-1.00112,2.282675,2.987756,2.318735,-0.645,2.873285,1.736095,-0.3288,0.832405,4.787302,2.202355,-0.56495,2.459605,3.069958,3.705116,2.773474,2.800015,2.558211,3.164995,-3.135,5.710073,1.277591
478.3408,-0.52006,0.124474,1.935974646,2.980105,-0.0622,2.572042,0.120084,2.986547,-1.4846,-8.08756,1.21164,0.321094,0.326822,0.196653,1.29759,2.453582,1.255169,3.417595,-3.49714,-1.06753,-4.92326,-0.65194,2.07736,0.840921,3.753293,-0.00000412,0.85601,0.062253,3.577531,1.741538,1.583256,1.736123,1.381003,1.34468,2.359957,1.190471,1.906699,0.0000139,3.445912,5.648861,3.776624,4.200067,2.951799,1.4274,-0.25597,1.883124,0.851781
478.7286,2.730357,-1.30705,0.00000197,0.364924,0.497645,2.02092,4.441595,2.925588,1.855822,-8.38158,4.336432,-0.44951,2.67993,-0.26221,-0.12973,2.219926,2.151695,2.547715,8.603711,2.449083,-5.81797,1.066841,1.687886,2.910937,1.722888,0.500568,3.823481,5.041957,1.78879,3.031563,-0.70366,2.764983,2.893503,3.905982,5.596468,2.797635,2.966017,3.812388,4.072443,6.13487,0.885185,4.083413,5.182086,0.68267,2.495614,0.060742,2.798624
479.1163,2.080306,1.867246,1.097101902,0.851484,0.995306,0.979847,1.980751,2.620919,1.979587,1.640722,-1.33918,0.834799,4.379507,-1.57329,3.179189,0.292105,-0.59771,3.790566,-5.59807,2.57471,5.819353,0.651971,0.714137,5.369154,4.799487,1.001166,5.022059,1.805221,1.126304,1.483566,0.996884,1.736184,1.972886,-1.21663,1.416022,1.547666,0.211864,1.967739,0.563893,6.803137,3.127648,3.266813,2.689536,3.723662,-3.20064,0.850454,2.311918
479.504,1.040115,0.24896,2.065032322,0.851459,-0.00000615,1.592182,1.980697,3.291229,3.835249,-2.75293,2.231924,3.916985,2.156985,-0.39331,3.049297,2.278284,1.314894,4.908868,2.58674,3.453749,7.030155,1.007547,3.116039,4.398684,4.183951,1.689384,3.652281,4.108186,1.722501,4.321495,2.521429,0.450107,0.920645,3.969955,6.540319,3.57136,2.118553,2.644062,5.701339,3.948156,3.540618,1.749997,5.378742,5.337024,-6.20473,1.336394,2.129323
479.8917,0.650095,0.809123,0.968005709,1.824564,1.057481,2.572037,3.601297,1.462798,0.989779,-12.4251,0.063798,3.403369,2.941385,1.048832,2.465432,3.096193,1.314938,6.089563,-5.94486,2.574655,0.191768,2.963423,2.077385,3.945907,5.84532,-0.12514,3.309914,0.809215,1.722518,-0.06449,-0.35182,0.578711,0.854896,0.832431,2.022825,1.785779,1.765464,2.0907,1.628984,6.377744,2.301486,4.083396,2.099096,6.826544,-6.27071,2.369091,3.285359
480.2793,3.120408,2.116167,2.581333625,1.824556,-1.92838,-0.9186,4.321585,2.620837,3.464175,-7.79435,1.785595,0.963219,4.510075,1.311067,2.076159,3.56357,-2.51031,3.541955,1.118496,0.43958,16.17494,2.13367,5.907597,2.910968,3.753322,1.439127,3.595274,1.867409,3.047561,-0.19346,2.404242,1.028823,1.380994,3.265674,1.550892,1.726201,3.530952,4.550282,2.130236,5.345249,2.47846,3.266792,3.935728,2.916802,-1.08729,5.58867,1.825178
